"id","latitude","longitude","name","docks"
395,37.360854,-121.906834,"Kerley Dr at Rosemary St",27
396,37.367678,-121.918794,"Metro Dr at Technology Dr",21
397,37.361867,-121.909315,"Gish Rd at 1st St",22
398,37.796471,-122.416858,"Leavenworth St at Broadway",18
399,37.802636,-122.436289,"Bay St at Fillmore St",26
4,37.785881,-122.408915,"Cyril Magnin St at Ellis St",34
400,37.804272,-122.433537,"Buchanan St at North Point St",28
401,37.365227,-121.916815,"Skyport Dr at Technology Dr",19
402,37.356834,-121.895936,"Raymond Bernal Jr Memorial Park (8th St at Hedding St)",23
403,37.355693,-121.892251,"10th St at Mission St",21
404,37.345759,-121.870678,"21st St at Santa Clara St",18
405,37.323451,-121.905976,"Sunol St at San Carlos St",25
406,37.316736,-121.910005,"Parkmoor Ave at Race St",27
407,37.315158,-121.897833,"Bird Ave at Coe Ave",15
409,37.839543,-122.298718,"2100 Powell St",23
41,37.78127,-122.41874,"Golden Gate Ave at Polk St",30
410,37.7502,-122.386567,"Illinois St at Cesar Chavez St",19
411,37.774018,-122.423809,"Octavia Blvd at Page St",25
412,37.732813,-122.43414,"Glen Park BART Station",39
413,37.720555,-122.447723,"Balboa Park BART Station",19
415,37.319757,-121.892999,"Delmas Ave at Virginia St",18
416,37.321182,-121.90309,"Auzerais Ave at Los Gatos Creek Trail",22
417,37.326011,-121.912327,"Park Ave at Race St",23
418,37.343985,-121.874385,"17th St at Santa Clara St",19
419,37.788197,-122.420373,"Fern St at Polk St",21
42,37.77865,-122.41823,"San Francisco City Hall (Polk St at Grove St)",19
421,37.360001,-121.878778,"23rd St at Taylor St",19
422,37.336775,-121.909149,"Stockton Ave at Lenzen Ave",23
423,37.320316,-121.870099,"South San Jose State (7th St at Humboldt St)",30
424,37.799208,-122.434122,"Greenwich St at Webster St",18
425,37.311284,-121.896325,"Bird Ave at Willow St",19
426,37.323345,-121.913497,"San Carlos St at Meridian Ave",19
427,37.320969,-121.908296,"Auzerais Ave at Lincoln Ave",26
43,37.778768,-122.415929,"San Francisco Public Library (Grove St at Hyde St)",25
431,37.728282,-122.450695,"Judson Ave at Gennessee St",27
432,37.733093,-122.390973,"Quesada Ave at 3rd St",18
433,37.731657,-122.451122,"Gennessee St at Monterey Blvd",14
434,37.725375,-122.39402,"Carroll Ave at 3rd St",23
435,37.729393,-122.386537,"Jennings St at Revere Ave",19
436,37.736296,-122.38997,"McKinnon Ave at 3rd St",23
437,37.740178,-122.383736,"Evans Ave at Mendell St",15
438,37.736852,-122.394251,"Oakdale Ave at Phelps St",19
439,37.784372,-122.439478,"Post St at Divisadero St",31
44,37.781074,-122.411738,"Civic Center/UN Plaza BART Station (Market St at McAllister St)",28
440,37.76591,-122.449257,"Carl St at Cole St",23
441,37.802288,-122.424509,"Chestnut St at Van Ness Ave",22
442,37.365536,-121.867966,"Newbury Park Dr at King Rd",23
443,37.320866,-121.876279,"3rd St at Keyes St",23
444,37.371116,-121.881332,"Mercado Way at Sierra Rd",17
445,37.786553,-122.399607,"Natoma St at New Montgomery St",21
446,37.78228,-122.407313,"Mint St at Mission St",15
450,37.763934,-122.470651,"Funston Ave at Irving St",27
451,37.764091,-122.467378,"10th Ave at Irving St",22
453,37.777934,-122.396973,"Brannan St at 4th St",17
454,37.775176,-122.465007,"7th Ave at Cabrillo St",23
455,37.775214,-122.458334,"McAllister St at Arguello Blvd",19
456,37.781468,-122.458806,"Arguello Blvd at Geary Blvd",19
457,37.763434,-122.464063,"7th Ave at Irving St",27
458,37.765783,-122.457637,"Frederick St at Arguello Blvd",18
459,37.753123,-122.405393,"Utah St at 24th St",15
46,37.79014,-122.242373,"San Antonio Park",15
460,37.769095,-122.386333,"Terry Francois Blvd at Warriors Way",41
461,37.77133,-122.386622,"Terry Francois Blvd at Mission Bay Blvd N",26
462,37.804648,-122.402087,"Cruise Terminal at Pier 27",20
463,37.740322,-122.376784,"Heron's Head Park",26
465,37.776329,-122.394438,"San Francisco Caltrain Station (King St at 4th St)",16
466,37.779488,-122.463142,"5th Ave at Anza St",21
467,37.782386,-122.391343,"Brannan St at Colin P Kelly Jr St",12
468,37.77787,-122.422953,"Grove St at Gough St",25
469,37.781982,-122.43577,"Ellis St at Pierce St",27
47,37.780955,-122.399749,"4th St at Harrison St",29
470,37.342663,-121.877292,"N 14th St at E Santa Clara St",22
471,37.777609,-122.454622,"Turk Blvd at Stanyan St",21
472,37.324126,-121.89972,"Columbia Ave at Bird Ave",23
473,37.309014,-121.900011,"Willow St at Blewett Ave",23
474,37.780471,-122.472823,"14th Ave at Geary Blvd",27
475,37.340379,-121.864021,"22nd St at William St",15
476,37.338468,-121.866521,"19th St at William St",15
477,37.78072,-122.476104,"17th Ave at Geary Blvd",22
478,37.800254,-122.425919,"Greenwich St at Franklin St",17
480,37.788569,-122.435401,"Steiner St at California St",19
481,37.781131,-122.447374,"O'Farrell St at Masonic Ave",27
482,37.772658,-122.403681,"Brannan St at 7th St",21
483,37.771229,-122.400886,"7th St at King St",26
485,37.773263,-122.47123,"Funston Ave at Fulton St",26
486,37.778487,-122.458645,"Arguello Blvd at Edward St",19
487,37.800496,-122.410887,"Powell St at Columbus Ave",29
488,37.72263,-122.392496,"Egbert Ave at Jennings St",26
489,37.782498,-122.471968,"Funston Ave at Clement St",26
49,37.78076,-122.394989,"S Park St at 3rd St",29
490,37.781841,-122.467636,"9th Ave at Geary Blvd",27
491,37.338671,-121.895644,"Devine St at San Pedro St",22
492,37.790803,-122.43259,"Webster St at Clay St",18
493,37.776664,-122.407908,"Folsom St at 7th St",19
494,37.326282,-121.904911,"Park Ave at Laurel Grove Ln",18
495,37.343208,-121.88439,"St James St at 9th St",19
498,37.72589,-122.452444,"Frida Kahlo Way at Cloud Cir",23
499,37.772303,-122.419796,"Otis St at Brady St",22
5,37.783899,-122.408445,"Powell St BART Station (Market St at 5th St)",33
50,37.780526,-122.390288,"2nd St at Townsend St",37
500,37.802198,-122.401772,"Battery St at Filbert St",29
506,37.782439,-122.465377,"7th Ave at Clement St",24
508,37.782476,-122.442534,"St. Joseph's Ave at Geary Blvd",27
509,37.742232,-122.386843,"Evans Ave at Newhall St",19
51,37.776101,-122.453093,"Parker Ave at McAllister St",27
510,37.785394,-122.431821,"Post St at Webster St",31
511,37.78068,-122.450012,"Anza St at Collins St",27
512,37.789688,-122.440688,"Divisadero St at Clay St",19
52,37.777416,-122.441838,"McAllister St at Baker St",24
53,37.775946,-122.437778,"Grove St at Divisadero",25
54,37.777547,-122.433274,"Alamo Square (Steiner St at Fulton St)",23
55,37.777053,-122.429559,"Webster St at Grove St",27
56,37.773414,-122.427317,"Koshland Park",27
58,37.776619,-122.417385,"Market St at 10th St",28
59,37.774814,-122.418954,"S Van Ness Ave at Market St",27
6,37.80477,-122.403234,"The Embarcadero at Sansome St",17
60,37.77452,-122.409449,"8th St at Ringold St",29
61,37.776513,-122.411306,"Howard St at 8th St",26
62,37.777791,-122.406432,"Victoria Manalo Draves Park",15
63,37.77591,-122.402575,"Bryant St at 6th St",19
66,37.778742,-122.392741,"3rd St at Townsend St",37
7,37.804562,-122.271738,"Frank H Ogawa Plaza",35
70,37.773311,-122.444293,"Central Ave at Fell St",31
71,37.773063,-122.439078,"Broderick St at Oak St",27
72,37.772406,-122.43565,"Page St at Scott St",24
73,37.771793,-122.433708,"Pierce St at Haight St",27
74,37.776435,-122.426244,"Laguna St at Hayes St",27
75,37.773793,-122.421239,"Market St at Franklin St",32
76,37.771662,-122.422423,"McCoppin St at Valencia St",18
77,37.773507,-122.41604,"11th St at Natoma St",19
78,37.773717,-122.411647,"Folsom St at 9th St",26
79,37.773492,-122.403673,"7th St at Brannan St",20
8,37.799953,-122.398525,"The Embarcadero at Vallejo St",23
80,37.775235,-122.397437,"Townsend St at 5th St",34
81,37.77588,-122.39317,"Berry St at 4th St",35
84,37.769201,-122.433812,"Duboce Park",19
85,37.770083,-122.429156,"Church St at Duboce Ave",27
86,37.769305,-122.426826,"Market St at Dolores St",18
87,37.769757,-122.415674,"Folsom St at 13th St",26
88,37.77003,-122.411726,"11th St at Bryant St",27
89,37.769218,-122.407646,"Division St at Potrero Ave",24
9,37.798572,-122.400869,"Broadway at Battery St",19
90,37.771058,-122.402717,"Townsend St at 7th St",24
91,37.771762,-122.398438,"Berry St at King St",19
92,37.772301,-122.393028,"Mission Bay Kids Park",25
93,37.770407,-122.391198,"4th St at Mission Bay Blvd S",26
95,37.766219,-122.43106,"Sanchez St at 15th St",27
96,37.76621,-122.426614,"Dolores St at 15th St",18
97,37.768265,-122.42011,"14th St at Mission St",17
98,37.765052,-122.421866,"Valencia St at 16th St",21
99,37.767037,-122.415443,"Folsom St at 15th St",19
