"bike_id","start_date","month","start_time","end_time","ride_time","time_frame","user_type","start_station_id","station_name"
347,"2017-06-28",6,"12:57:23.288","12:59:24.346",2,"short","Subscriber",5,"Powell St BART Station (Market St at 5th St)"
1027,"2017-06-28",6,"12:58:05.115","13:20:03.723",21,"meduim","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
862,"2017-06-28",6,"12:58:12.136","15:28:40.53",30,"long","Customer",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
783,"2017-06-28",6,"13:02:04.679","13:06:57.533",4,"short","Subscriber",5,"Powell St BART Station (Market St at 5th St)"
145,"2017-06-28",6,"13:02:40.729","13:09:01.959",6,"short","Subscriber",66,"3rd St at Townsend St"
1082,"2017-06-28",6,"13:02:48.423","13:10:58.975",8,"short","Subscriber",37,"Folsom St at 2nd St"
278,"2017-06-28",6,"13:05:41.152","13:08:09.158",2,"short","Subscriber",50,"2nd St at Townsend St"
338,"2017-06-28",6,"13:07:50.32","13:20:43.319",12,"meduim","Subscriber",23,"The Embarcadero at Steuart St"
144,"2017-06-28",6,"13:09:47.145","13:13:10.71",3,"short","Subscriber",13,"Commercial St at Montgomery St"
364,"2017-06-28",6,"13:10:01.853","13:17:17.746",7,"short","Subscriber",17,"Embarcadero BART Station (Beale St at Market St)"
601,"2017-06-28",6,"13:11:54.513","15:49:24.097",37,"long","Customer",6,"The Embarcadero at Sansome St"
855,"2017-06-28",6,"13:12:14.616","15:49:16.334",37,"long","Customer",6,"The Embarcadero at Sansome St"
907,"2017-06-28",6,"13:13:35.929","13:20:01.231",6,"short","Subscriber",37,"Folsom St at 2nd St"
355,"2017-06-28",6,"13:13:57.595","13:38:40.892",24,"meduim","Subscriber",44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)"
117,"2017-06-28",6,"13:15:06.725","13:20:28.745",5,"short","Subscriber",21,"Montgomery St BART Station (Market St at 2nd St)"
894,"2017-06-28",6,"13:15:26.959","13:31:02.572",15,"meduim","Subscriber",59,"S Van Ness Ave at Market St"
1058,"2017-06-28",6,"13:15:32.553","13:19:31.039",3,"short","Subscriber",58,"Market St at 10th St"
120,"2017-06-28",6,"13:15:33.36","13:41:34.127",26,"meduim","Customer",15,"San Francisco Ferry Building (Harry Bridges Plaza)"
734,"2017-06-28",6,"13:15:54.924","13:22:03.198",6,"short","Subscriber",81,"Berry St at 4th St"
734,"2017-06-28",6,"13:25:32.26","13:28:40.865",3,"short","Subscriber",90,"Townsend St at 7th St"
131,"2017-06-28",6,"13:26:14.622","13:30:56.364",4,"short","Subscriber",28,"The Embarcadero at Bryant St"
